,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Khatanga,71.97,102.5,-1.08,86,0,6.8,RU,1603927830
71,Mahébourg,-20.41,57.7,71.01,75,80,3.0,MU,1603927831
72,Kapaa,22.08,-159.32,78.01,69,28,9.26,US,1603927756
73,Chui,-33.7,-53.46,57.24,82,89,11.99,UY,1603927831
74,Malchevskaya,49.06,40.36,40.33,68,0,12.15,RU,1603927831
75,Santa Rosa,14.31,121.11,78.01,94,100,2.1,PH,1603927831
76,Maracaibo,10.63,-71.64,83.14,73,44,9.8,VE,1603927831
77,Evensk,61.95,159.23,25.79,79,0,5.5,RU,1603927832
78,Guarapari,-20.67,-40.5,82.0,87,7,11.01,BR,1603927832
79,Guerrero Negro,27.98,-114.06,70.92,39,0,13.91,MX,1603927832
80,Tessalit,20.2,1.01,76.21,18,0,8.5,ML,1603927832
81,Ponta do Sol,32.67,-17.1,64.0,64,92,1.99,PT,1603927833
82,Alyangula,-13.85,136.42,86.58,50,4,9.95,AU,1603927833
83,Ostrovnoy,68.05,39.51,37.04,88,74,16.73,RU,1603927834
84,Pomabamba,-8.83,-77.47,55.4,64,81,7.27,PE,1603927834
85,Amudat,1.95,34.95,71.02,69,33,5.17,UG,1603927834
86,Ilulissat,69.22,-51.1,11.91,88,100,4.74,GL,1603927834
87,Cananéia,-25.01,-47.93,71.26,83,0,3.06,BR,1603927835
88,Ribeira Grande,38.52,-28.7,66.92,85,4,19.57,PT,1603927835
89,Kavaratti,10.57,72.64,81.41,75,0,6.35,IN,1603927835
90,Pringsewu,-5.36,104.97,77.05,83,81,2.3,ID,1603927835
91,Oodweyne,9.41,45.06,66.06,44,1,1.19,SO,1603927835
92,Poum,-20.23,164.02,77.29,74,1,22.37,NC,1603927836
93,Pisco,-13.7,-76.22,63.0,85,27,13.0,PE,1603927836
94,St. George's,12.06,-61.75,81.34,84,100,14.58,GD,1603927836
95,Hokitika,-42.72,170.97,59.65,88,100,4.29,NZ,1603927836
96,Norman Wells,65.28,-126.83,20.21,95,93,3.38,CA,1603927376
97,Jiuquan,39.74,98.52,33.22,84,0,2.37,CN,1603927837
98,Esperance,-33.87,121.9,60.13,58,0,11.12,AU,1603927837
99,Oleksandrivka,46.84,32.76,51.67,82,53,6.85,UA,1603927837
100,Vardø,70.37,31.11,39.96,80,88,15.64,NO,1603927837
101,Gilbués,-9.83,-45.34,79.12,64,98,2.42,BR,1603927838
102,Vaini,-21.2,-175.2,73.26,72,0,20.07,TO,1603927376
103,Krasnosel'kup,65.7,82.47,-0.65,91,0,11.14,RU,1603927838
104,Hobart,-42.88,147.33,64.0,60,8,2.24,AU,1603927358
105,Chokurdakh,70.63,147.92,-5.12,91,43,7.36,RU,1603927376
106,Kununurra,-15.77,128.73,91.53,41,52,5.59,AU,1603927838
107,Ulaanbaatar,47.91,106.88,29.57,77,0,4.23,MN,1603927839
108,Hamilton,39.18,-84.53,53.01,86,100,1.01,US,1603927784
109,Jambi City,-1.6,103.62,75.15,92,100,3.53,ID,1603927839
110,Los Llanos de Aridane,28.66,-17.92,61.0,78,29,9.75,ES,1603927655
111,Hadejia,12.45,10.04,79.23,20,0,8.77,NG,1603927839
112,Bethel,41.37,-73.41,51.01,95,94,4.5,US,1603927840
113,Bathsheba,13.22,-59.52,81.5,81,100,22.15,BB,1603927840
114,Teeli,51.03,90.23,24.06,91,39,0.58,RU,1603927840
115,Bredasdorp,-34.53,20.04,64.4,55,100,8.05,ZA,1603927840
116,Praia,14.92,-23.51,79.16,85,77,10.16,CV,1603927841
117,Wajima,37.4,136.9,57.9,50,18,9.13,JP,1603927841
118,Cidreira,-30.18,-50.21,65.98,87,4,5.53,BR,1603927841
119,Winnipeg,49.88,-97.15,26.01,68,75,8.99,CA,1603927573
120,Dikson,73.51,80.55,3.06,90,1,22.59,RU,1603927841
121,Moussoro,13.64,16.49,84.24,16,0,12.66,TD,1603927842
122,Mount Gambier,-37.83,140.77,48.87,98,100,3.27,AU,1603927842
123,Tuktoyaktuk,69.45,-133.04,20.48,96,99,19.89,CA,1603927790
124,Eureka,40.8,-124.16,68.0,60,0,3.62,US,1603927719
125,Castro,-24.79,-50.01,63.1,51,0,2.04,BR,1603927842
126,Koutiala,12.39,-5.46,77.47,18,16,6.8,ML,1603927843
127,Shingū,33.73,135.98,65.3,62,2,2.89,JP,1603927843
128,Yuli,9.7,10.27,77.86,31,32,3.13,NG,1603927843
129,Saint-Philippe,-21.36,55.77,60.01,92,96,1.99,RE,1603927843
130,Port Alfred,-33.59,26.89,66.61,84,95,5.28,ZA,1603927843
131,Geraldton,-28.77,114.6,74.3,43,0,13.62,AU,1603927844
132,Ust'-Ilimsk,58.0,102.66,32.4,97,100,7.2,RU,1603927844
133,Sitka,57.05,-135.33,45.95,71,33,3.78,US,1603927844
134,George Town,5.41,100.34,78.01,94,100,5.01,MY,1603927844
135,Grindavik,63.84,-22.43,46.4,42,0,20.8,IS,1603927844
136,Antofagasta,-23.65,-70.4,57.88,77,38,5.66,CL,1603927734
137,Bridlington,54.08,-0.19,45.0,83,79,10.0,GB,1603927844
138,Guánica,17.97,-66.91,77.0,89,14,5.95,PR,1603927845
139,Avarua,-21.21,-159.78,72.68,81,40,17.45,CK,1603927845
140,Talnakh,69.49,88.4,-0.65,75,0,6.35,RU,1603927845
141,Kaitangata,-46.28,169.85,51.01,85,100,1.99,NZ,1603927846
142,Russell,32.35,-85.2,77.0,91,98,7.49,US,1603927846
143,Vila Franca do Campo,37.72,-25.43,66.0,75,35,7.99,PT,1603927846
144,Soyo,-6.13,12.37,76.78,86,99,5.64,AO,1603927846
145,Kahului,20.89,-156.47,82.99,74,14,4.0,US,1603927606
146,Halesowen,52.45,-2.05,44.01,91,5,1.01,GB,1603927817
147,Portales,34.19,-103.33,36.0,89,92,11.99,US,1603927847
148,Dillon,34.42,-79.37,73.99,94,91,6.6,US,1603927847
149,Nouadhibou,20.93,-17.03,73.99,63,100,17.11,MR,1603927848
150,Port Lincoln,-34.73,135.87,61.32,69,66,21.21,AU,1603927848
151,Coquimbo,-29.95,-71.34,56.77,69,0,4.79,CL,1603927848
152,Goderich,43.75,-81.72,51.01,63,27,18.07,CA,1603927849
153,Mabamba,-3.6,30.5,66.06,88,87,2.13,TZ,1603927849
154,Mājalgaon,19.15,76.23,66.76,60,4,3.56,IN,1603927849
155,Marsá Maţrūḩ,31.35,27.25,72.68,57,0,12.3,EG,1603927849
156,Talcahuano,-36.72,-73.12,54.37,68,16,15.41,CL,1603927850
157,Manakara,-22.13,48.02,70.77,89,17,5.91,MG,1603927850
158,Kieta,-6.22,155.63,86.0,65,100,2.77,PG,1603927850
159,Bonfim,3.08,-59.95,85.24,59,100,3.6,BR,1603927850
160,Hong Kong,22.29,114.16,75.99,72,100,1.99,HK,1603927762
161,Saint Paul Harbor,57.79,-152.41,40.62,69,59,4.45,US,1603927851
162,Bengkulu,-3.8,102.27,76.6,81,100,3.51,ID,1603927851
163,Leominster,42.53,-71.76,45.0,100,90,5.37,US,1603927851
164,Roald,62.58,6.13,48.99,72,98,5.99,NO,1603927851
165,Pak Phanang,8.35,100.2,78.94,80,100,8.72,TH,1603927851
166,Panguna,-6.32,155.48,81.03,74,100,1.01,PG,1603927851
167,Vila Velha,-20.33,-40.29,82.0,87,65,11.01,BR,1603927851
168,Tura,25.52,90.22,70.05,90,0,4.0,IN,1603927852
169,Udachny,66.42,112.4,-13.7,88,0,0.65,RU,1603927852
170,Lakatoro,-16.1,167.42,81.59,66,17,15.39,VU,1603927852
171,Grand Gaube,-20.01,57.66,71.01,75,44,3.0,MU,1603927853
172,Ancud,-41.87,-73.82,51.01,89,81,7.0,CL,1603927853
173,Dakar,14.69,-17.44,85.33,54,3,11.03,SN,1603927853
174,Baghdad,33.34,44.4,68.95,22,18,5.53,IQ,1603927668
175,Vilyuysk,63.76,121.62,-5.48,91,37,2.84,RU,1603927853
176,Caravelas,-17.71,-39.25,78.4,83,100,13.38,BR,1603927854
177,Zyryanka,65.75,150.85,5.59,93,89,0.89,RU,1603927854
178,Gachsaran,30.36,50.8,59.0,28,0,3.0,IR,1603927854
179,Aykhal,66.0,111.5,-8.19,88,0,2.73,RU,1603927854
180,Sulangan,11.14,123.72,83.41,77,71,12.5,PH,1603927854
181,Haines Junction,60.75,-137.51,30.09,93,99,2.21,CA,1603927855
182,Nantucket,41.28,-70.1,55.99,95,94,11.01,US,1603927575
183,Mar del Plata,-38.0,-57.56,57.0,61,100,5.99,AR,1603927754
184,Carnarvon,-24.87,113.63,74.75,54,0,11.65,AU,1603927855
185,Cherskiy,68.75,161.3,5.81,94,98,4.5,RU,1603927855
186,San Policarpo,12.18,125.51,83.19,78,82,10.94,PH,1603927856
187,Klaksvík,62.23,-6.59,47.97,81,94,16.11,FO,1603927856
188,Kainantu,-6.29,145.87,67.82,83,100,1.7,PG,1603927856
189,Derzhavīnsk,51.1,66.32,32.09,90,85,10.94,KZ,1603927857
190,Thompson,55.74,-97.86,13.96,88,64,4.81,CA,1603927857
191,Oudtshoorn,-33.59,22.2,59.0,93,97,8.05,ZA,1603927857
192,São João da Barra,-21.64,-41.05,77.13,89,3,20.65,BR,1603927857
193,Nikolskoye,59.7,30.79,44.01,99,65,8.21,RU,1603927857
194,Lorengau,-2.02,147.27,85.93,63,53,2.71,PG,1603927858
195,San Andrés,12.58,-81.7,83.1,79,82,11.05,CO,1603927858
196,Bahía Solano,6.23,-77.4,78.01,85,100,9.86,CO,1603927858
197,Katherine,-14.47,132.27,89.55,41,60,4.7,AU,1603927859
198,Fare,-16.7,-151.02,80.76,79,35,15.84,PF,1603927859
199,Ust-Tsilma,65.44,52.15,42.26,90,100,17.0,RU,1603927859
200,Mahanoro,-19.9,48.8,70.99,89,5,5.5,MG,1603927859
201,Saskylakh,71.92,114.08,2.7,90,97,9.93,RU,1603927844
202,Clyde River,70.47,-68.59,14.61,89,96,6.11,CA,1603927860
203,Makariv,50.46,29.81,45.0,60,0,4.9,UA,1603927860
204,Half Moon Bay,37.46,-122.43,75.0,22,0,5.37,US,1603927647
205,Biu,10.61,12.19,73.31,26,31,5.21,NG,1603927861
206,Miranda,3.25,-76.23,75.2,64,75,3.36,CO,1603927861
207,Muros,42.78,-9.06,55.0,94,7,3.0,ES,1603927861
208,Kruisfontein,-34.0,24.73,61.0,92,67,1.01,ZA,1603927861
209,Comodoro Rivadavia,-45.87,-67.5,57.81,35,0,8.43,AR,1603927862
210,Trairi,-3.28,-39.27,78.28,81,3,10.78,BR,1603927862
211,Tierralta,8.17,-76.06,76.78,90,99,7.83,CO,1603927862
212,Salima,-13.78,34.46,76.12,60,38,5.48,MW,1603927862
213,Pevek,69.7,170.31,21.31,95,100,16.6,RU,1603927862
214,Emerald,-23.53,148.17,79.0,26,0,11.01,AU,1603927863
215,Vysokogornyy,50.12,139.15,34.47,91,100,4.18,RU,1603927863
216,Manggar,-2.88,108.27,82.71,79,35,8.46,ID,1603927863
217,Acapulco de Juárez,16.86,-99.89,84.0,72,42,7.18,MX,1603927698
218,High Level,58.52,-117.14,28.4,92,90,2.59,CA,1603927863
219,Gorom-Gorom,14.44,-0.24,82.8,14,7,7.74,BF,1603927863
220,Yambio,4.57,28.4,69.1,94,100,1.61,SS,1603927864
221,Waynesville,35.49,-82.99,64.0,95,100,1.01,US,1603927864
222,Inhambane,-23.86,35.38,72.46,88,17,10.63,MZ,1603927864
223,Santa Barbara,34.73,-120.03,81.0,18,0,8.99,US,1603927760
224,Ełk,53.83,22.36,50.13,83,39,5.91,PL,1603927864
225,Kavieng,-2.57,150.8,84.87,65,100,4.34,PG,1603927865
226,Phalaborwa,-23.94,31.14,71.92,34,0,5.93,ZA,1603927865
227,Skegness,53.14,0.34,45.0,85,40,3.0,GB,1603927865
228,Nanortalik,60.14,-45.24,32.76,91,100,14.2,GL,1603927865
229,Mīnāb,27.15,57.08,69.48,21,0,5.82,IR,1603927865
230,Yumbe,3.47,31.25,66.06,94,100,2.55,UG,1603927865
231,Matagami,49.75,-77.63,28.29,98,100,9.73,CA,1603927865
232,Morón,-34.65,-58.62,59.0,88,65,1.99,AR,1603927866
233,Milton,34.13,-84.3,72.0,99,100,1.01,US,1603927805
234,Todos Santos,23.45,-110.22,80.01,67,1,7.0,MX,1603927866
235,Kamina,-8.74,24.99,64.54,95,82,5.1,CD,1603927866
236,Saint George,37.1,-113.58,73.0,12,1,5.82,US,1603927756
237,Mogadishu,2.04,45.34,79.03,82,25,7.4,SO,1603927866
238,Salalah,17.02,54.09,78.06,70,21,2.46,OM,1603927867
239,Dulce Grande,23.0,-102.17,72.25,28,8,10.49,MX,1603927867
240,Severo-Kuril'sk,50.68,156.12,44.6,79,73,8.1,RU,1603927867
241,Houston,29.76,-95.36,55.0,83,60,3.0,US,1603927217
242,Pierre,44.37,-100.35,39.99,100,95,4.0,US,1603927867
243,Brigantine,39.41,-74.36,64.0,92,100,7.0,US,1603927867
244,‘Āhuimanu,21.44,-157.84,84.0,66,12,5.01,US,1603927867
245,Gwanda,-20.93,29.0,69.48,35,0,9.64,ZW,1603927868
246,Astoria,46.19,-123.83,59.0,78,67,3.0,US,1603927868
247,Tukan,53.84,57.46,27.48,91,29,3.04,RU,1603927868
248,Tondano,1.3,124.91,71.06,94,100,2.95,ID,1603927868
249,Lagoa,39.05,-27.98,65.32,78,2,9.82,PT,1603927869
250,Oistins,13.07,-59.53,81.55,81,100,21.79,BB,1603927618
251,Villa Constitución,-33.23,-60.33,57.0,75,47,3.78,AR,1603927869
252,Dingle,11.0,122.67,81.28,83,57,4.03,PH,1603927869
253,Lavrentiya,65.58,-171.0,27.34,86,98,3.2,RU,1603927869
254,Den Helder,52.96,4.76,52.0,81,100,20.0,NL,1603927757
255,Itarema,-2.92,-39.92,78.22,82,9,13.69,BR,1603927869
256,Quelimane,-17.88,36.89,69.19,91,0,2.46,MZ,1603927870
257,Sabha,27.04,14.43,63.63,45,0,15.01,LY,1603927870
258,Ohrid,41.12,20.8,52.2,72,94,4.12,MK,1603927738
259,Maner,25.65,84.88,66.42,44,0,2.89,IN,1603927870
260,Kitimat,54.05,-128.65,46.99,91,100,0.98,CA,1603927871
261,Nouakchott,18.09,-15.98,86.09,28,57,15.64,MR,1603927871
262,Sibu,2.3,111.82,78.01,94,88,5.99,MY,1603927871
263,Faanui,-16.48,-151.75,79.83,80,14,16.98,PF,1603927871
264,Yangi Marg`ilon,40.43,71.72,42.87,56,99,2.04,UZ,1603927871
265,Saint-Pierre,-21.34,55.48,60.01,92,94,1.99,RE,1603927872
266,Kamogawa,35.1,140.1,66.0,57,1,3.0,JP,1603927872
267,Lompoc,34.64,-120.46,80.01,35,0,3.0,US,1603927872
268,Kachug,53.96,105.88,29.71,94,100,2.15,RU,1603927872
269,Inírida,3.87,-67.92,77.47,93,99,1.74,CO,1603927872
270,Pochutla,15.74,-96.47,81.0,85,77,3.04,MX,1603927872
271,Nuevo Progreso,23.17,-97.95,64.99,69,45,3.0,MX,1603927873
272,Kaniama,-7.57,24.18,66.6,96,86,2.77,CD,1603927873
273,Saint-Joseph,-21.37,55.62,60.01,92,95,1.99,RE,1603927873
274,Narsaq,60.92,-46.05,32.09,89,100,1.99,GL,1603927873
275,Batasan,12.77,120.78,82.65,73,62,2.57,PH,1603927874
276,Vrede,-27.43,29.17,61.32,72,75,3.36,ZA,1603927874
277,Moose Factory,51.26,-80.61,26.08,92,86,8.05,CA,1603927874
278,Bambous Virieux,-20.34,57.76,71.01,75,73,3.0,MU,1603927874
279,Chimbote,-9.09,-78.58,62.69,85,22,6.96,PE,1603927874
280,Hasaki,35.73,140.83,59.0,91,16,8.01,JP,1603927377
281,Stephenville,32.22,-98.2,48.0,67,0,5.01,US,1603927874
282,Meppen,52.69,7.29,50.0,97,98,1.01,DE,1603927875
283,Lapeer,43.05,-83.32,46.0,72,42,8.72,US,1603927812
284,Fuerte Olimpo,-21.04,-57.87,83.37,66,18,7.74,PY,1603927875
285,Ikalamavony,-21.15,46.58,63.64,71,16,9.28,MG,1603927875
286,Umluj,25.02,37.27,86.11,23,0,16.02,SA,1603927875
287,Grenå,56.42,10.88,48.0,93,59,18.43,DK,1603927875
288,Lethem,3.38,-59.8,85.95,57,94,5.79,GY,1603927876
289,Walvis Bay,-22.96,14.51,57.99,89,40,3.0,NA,1603927876
290,La Ronge,55.1,-105.28,25.18,96,97,2.8,CA,1603927876
291,Susaki,33.37,133.28,66.33,56,27,2.28,JP,1603927876
292,Airai,-8.93,125.41,71.69,58,52,2.48,TL,1603927877
293,Cap Malheureux,-19.98,57.61,71.01,75,45,3.0,MU,1603927877
294,Karak,31.17,35.75,56.23,86,72,2.19,JO,1603927877
295,Griffith,41.53,-87.42,46.0,68,91,4.03,US,1603927584
296,Ginir,7.13,40.7,54.32,82,14,4.72,ET,1603927877
297,Vostok,46.49,135.88,28.96,99,100,7.0,RU,1603927878
298,San Patricio,28.02,-97.52,64.99,45,0,3.0,US,1603927878
299,Alofi,-19.06,-169.92,73.74,79,19,23.85,NU,1603927878
300,Tripoli,32.88,13.19,69.24,55,22,11.27,LY,1603927651
301,Tommot,58.96,126.29,8.65,93,86,1.25,RU,1603927878
302,Payo,-3.75,103.64,74.75,91,100,1.5,ID,1603927879
303,Diamantino,-14.41,-56.45,77.29,85,99,6.49,BR,1603927879
304,San Cosme y Damián,-27.32,-56.35,72.82,62,0,10.87,PY,1603927879
305,Langsa,4.47,97.97,76.66,92,100,1.95,ID,1603927879
306,Sakakah,29.97,40.21,61.02,30,0,2.37,SA,1603927880
307,Businga,3.33,20.88,71.71,97,100,0.29,CD,1603927880
308,Tevriz,57.51,72.4,22.06,97,99,2.89,RU,1603927880
309,Qui Nhon,13.77,109.23,75.97,78,56,2.04,VN,1603927649
310,Changping,40.22,116.22,55.99,41,100,1.72,CN,1603927880
311,Pakxan,18.38,103.66,73.85,74,100,3.22,LA,1603927881
312,Karīmganj,24.87,92.35,72.16,89,2,2.57,IN,1603927881
313,Torbay,47.67,-52.73,35.01,87,97,4.41,CA,1603927839
314,Cockburn Town,21.46,-71.14,82.45,76,1,21.43,TC,1603927882
315,Baoro,5.67,15.97,68.14,88,15,1.77,CF,1603927882
316,Ixtapa,20.7,-105.2,79.75,81,27,1.99,MX,1603927882
317,Isnos,1.94,-76.24,61.11,90,100,2.08,CO,1603927882
318,Amalāpuram,16.58,82.02,72.57,78,75,4.14,IN,1603927883
319,Kudahuvadhoo,2.67,72.89,82.49,77,77,12.46,MV,1603927883
320,Międzyrzecz,52.44,15.58,48.0,41,89,9.28,PL,1603927883
321,Togur,58.36,82.83,13.08,94,100,12.1,RU,1603927883
322,Eirunepé,-6.66,-69.87,82.2,72,83,2.75,BR,1603927883
323,Hofn,64.25,-15.21,43.47,82,98,24.83,IS,1603927884
324,Alexandria,31.22,29.96,72.07,68,0,6.15,EG,1603927884
325,Leningradskiy,69.38,178.42,19.15,91,95,10.16,RU,1603927884
326,Filipeni,46.53,27.18,54.0,94,100,7.0,RO,1603927884
327,Shuiji,27.42,118.34,67.12,77,100,1.66,CN,1603927884
328,Shestakovo,56.49,103.96,33.6,92,100,8.9,RU,1603927884
329,Emba,48.83,58.14,35.11,77,0,3.42,KZ,1603927885
330,Fuerte,17.54,120.36,80.28,78,100,3.31,PH,1603927885
331,Toora-Khem,52.47,96.11,26.67,92,39,1.41,RU,1603927885
332,Urubichá,-15.38,-62.95,84.38,54,41,3.67,BO,1603927886
333,Cashel,52.52,-7.89,46.0,87,86,1.99,IE,1603927886
334,Flinders,-34.58,150.86,64.0,91,93,1.01,AU,1603927886
335,Diego de Almagro,-26.37,-70.05,54.23,42,0,1.59,CL,1603927886
336,Awjilah,29.11,21.29,63.28,69,0,7.7,LY,1603927886
337,Noshiro,40.2,140.02,52.92,67,40,18.95,JP,1603927887
338,Okhotsk,59.38,143.3,28.45,89,99,9.19,RU,1603927887
339,The Valley,18.22,-63.06,81.0,84,35,11.01,AI,1603927888
340,Juneau,58.3,-134.42,45.0,100,100,3.65,US,1603927879
341,Kendari,-3.94,122.5,83.97,66,37,4.59,ID,1603927888
342,Zhangye,38.93,100.45,44.26,47,0,7.07,CN,1603927888
343,Samarai,-10.62,150.67,82.42,73,78,4.23,PG,1603927888
344,Kiryat Gat,31.61,34.76,75.0,100,92,5.93,IL,1603927888
345,Pitimbu,-7.47,-34.81,77.7,77,97,12.3,BR,1603927888
346,Balkhash,46.84,74.98,31.46,89,90,8.86,KZ,1603927889
347,Lubbock,33.6,-101.83,36.0,88,93,5.01,US,1603927889
348,Cabo Rojo,18.09,-67.15,79.0,97,28,9.71,PR,1603927889
349,Atasū,48.68,71.64,26.31,95,96,7.43,KZ,1603927889
350,Ilo,-17.64,-71.34,61.07,79,61,3.13,PE,1603927889
351,Mahāsamund,21.1,82.1,66.13,74,16,2.13,IN,1603927890
352,Berlevåg,70.86,29.09,37.8,84,97,10.47,NO,1603927890
353,Brønnøysund,65.46,12.2,44.01,75,99,8.99,NO,1603927890
354,Gizo Government Station,-8.1,156.84,84.7,75,92,10.2,SB,1603927890
355,Tanete,-3.94,119.78,85.21,64,37,7.27,ID,1603927890
356,Sobolevo,54.43,31.9,41.56,88,1,7.18,RU,1603927890
357,Abhar,36.15,49.22,49.66,48,82,2.01,IR,1603927891
358,Skibbereen,51.55,-9.27,52.66,81,100,17.13,IE,1603927891
359,Paamiut,61.99,-49.67,27.5,87,92,14.09,GL,1603927891
360,São Lourenço do Sul,-31.37,-51.98,68.0,95,99,2.55,BR,1603927885
361,Crotone,39.09,17.12,62.02,66,5,5.68,IT,1603927891
362,Dzerzhinsk,56.24,43.46,33.01,86,0,8.99,RU,1603927892
363,Nanyang,32.99,112.53,55.94,51,48,4.52,CN,1603927892
364,Great Falls,47.5,-111.3,36.41,98,68,3.67,US,1603927739
365,Salinópolis,-0.61,-47.36,80.82,80,59,12.12,BR,1603927892
366,La Plaine,15.33,-61.25,77.74,84,100,21.12,DM,1603927892
367,Tamworth,52.63,-1.7,45.0,85,8,5.01,GB,1603927893
368,Verkhnyaya Inta,65.98,60.31,37.13,96,100,13.89,RU,1603927893
369,Marsh Harbour,26.54,-77.06,81.21,79,31,15.61,BS,1603927893
370,Camaná,-16.62,-72.71,63.27,76,66,6.26,PE,1603927640
371,Sarandi,-23.44,-51.87,86.0,25,0,3.36,BR,1603927893
372,Itoman,26.12,127.67,73.0,83,26,11.81,JP,1603927894
